,Shipment Number,ATF Port Dep 1 Date,ATF Port Dep 1 Yr/Week,Operational plan Port Dep 1 Yr/Week,FFE,TON,Booking Create Date,Booking Status,Receipt Service Mode,Delivery Service Mode,Cargo Type,Container Type,Container Size,String,String Direction,POR Site Code,POR Country Code,POR Cluster Code,POR Region Code,POD Country Code,POD Cluster Code,POD Region Code,LOPFI Site Code,LOPFI Country Code,LOPFI Region Code,LOPFI Cluster Code,DIPLA Site Code,DIPLA Country Code,DIPLA Cluster Code,DIPLA Region Code,Est Trans days,Atf Trans days
6441,552017883,9/5/2010,2010/35,2010/35,5,3528,08/11/2010,Active,CY,CY,DRY,DRY,20,FEAEUR418,W  ,HKHKGMO ,HK,PRS,NAS,DE,DEC,NEU,HKHKGMO,HK,NAS,PRS,DEHAMBK,DE,DEC,NEU,63.0,51.0
6442,552017907,9/3/2010,2010/35,2010/35,5,4492,08/11/2010,Active,CY,CY,DRY,DRY,20,FEAEUR419,E  ,EGPSDTM ,EG,EGC,MED,CN,PRE,NAS,EGPSDTM,EG,MED,EGC,CNSGHY3,CN,PRE,NAS,46.0,37.0
6443,552017912,9/10/2010,2010/36,2010/36,1,17961,08/11/2010,Active,CY,CY,DRY,DRY,40,NEUNAM999,W  ,DEBRVTM ,DE,DEC,NEU,US,USC,NAM,DEBRVTM,DE,NEU,DEC,CAMONCT,CA,USC,NAM,74.0,40.0
6444,552017923,9/15/2010,2010/37,2010/37,1,1444,08/11/2010,Active,CY,CY,DRY,DRY,40,WLAEUR84K,S  ,FIHELTM ,FI,RUC,NEU,PE,WSA,LAM,FIHELTM,FI,NEU,RUC,PECALDPW,PE,WSA,LAM,108.0,88.0
6445,552017928,9/6/2010,2010/36,2010/36,1,7584,08/11/2010,Active,CY,SD,DRY,DRY,40,FEANAM770,,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USCHSTM,US,USC,NAM,97.0,105.0
6446,552017931,9/1/2010,2010/35,2010/35,8,91892,08/11/2010,Active,SD,CY,DRY,DRY,40,EUREUR43G,S  ,        ,PL,ECE,NEU,SY,EGC,MED,PLGDNDCT,PL,NEU,ECE,SYER0TM,SY,EGC,MED,640.0,645.0
6447,552017937,9/5/2010,2010/35,2010/35,5,4841,08/11/2010,Active,CY,CY,REEF,REEF,20,MEAMEA888,R  ,IRBNDTM ,IR,AEC,WCA,BH,JOC,WCA,IRBNDTM,IR,WCA,AEC,BHBAHTM,BH,JOC,WCA,58.0,40.0
6448,552017960,9/7/2010,2010/36,2010/36,5,2284,08/11/2010,Active,CY,CY,DRY,DRY,20,OCEEUR888,S  ,ITBRIRT ,IT,ITC,MED,NZ,NZC,APA,ITGTOPT,IT,MED,ITC,NZWELCT,NZ,NZC,APA,102.0,99.0
6449,552017972,9/1/2010,2010/35,2010/35,1,27691,08/11/2010,Active,SD,CY,DRY,DRY,40,MEANEU403,E  ,        ,DE,DEC,NEU,IN,INC,WCA,DEBRVTM,DE,NEU,DEC,INJHTTM,IN,INC,WCA,88.0,73.0
6450,552017973,9/24/2010,2010/38,2010/38,7,167515,08/11/2010,Active,SD,CY,DRY,DRY,40,FEAEUR680,E  ,        ,GB,GBC,NEU,HK,PRS,NAS,GBGMOTM,GB,NEU,GBC,HKHKGMO,HK,PRS,NAS,490.0,545.0
